OTU,MCA1,MCA2,MCA3,MCA4,MCA5,MCG1,MCG2,MCG3,MCG4,MCG5,sum,taxonomy
OTU18280,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Myriangiales; f__Elsinoaceae
OTU18283,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU18282,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU14704,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU18284,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU14706,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified; s__Clavariaceae_sp_SH214390.07FU
OTU14707,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Ampulloclitocybe; s__Ampulloclitocybe_clavipes_SH221699.07FU
OTU18289,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU18288,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH474059.07FU
OTU19776,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mucorales; f__Cunninghamellaceae; g__Absidia; s__Absidia_sp_SH190047.07FU
OTU19777,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU15257,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_brunneofibrillosa_SH219024.07FU
OTU19775,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Incertae_sedis; o__Incertae_sedis; f__Incertae_sedis; g__Scolecobasidium; s__Scolecobasidium_constrictum_SH009510.07FU
OTU19772,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_volvata_SH003381.07FU
OTU19773,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU19770,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Diversisporaceae
OTU19771,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU15259,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU15258,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae
OTU19778,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH177200.07FU
OTU19779,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified
OTU3123,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU3122,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU3121,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU3120,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU3127,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Kickxellales
OTU3126,0,0,0,0,0,0,1,0,0,0,1,Unassignable
OTU3125,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU3124,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU19484,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified
OTU19485,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales
OTU3129,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU19487,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU19480,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU19481,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Diversisporales; f__Diversisporaceae
OTU19482,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU19483,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Boletaceae; g__unidentified; s__Boletaceae_sp_SH177254.07FU
OTU12706,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12707,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae
OTU12704,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12705,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12702,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12703,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12700,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12701,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12708,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU12709,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2292,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2293,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2290,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2291,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH032782.07FU
OTU16939,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2297,0,0,0,0,0,0,0,0,0,0,0,Unassignable
OTU2294,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2295,0,0,0,0,0,0,0,0,0,0,0,Unassignable
OTU16935,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH462971.07FU
OTU16934,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2298,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU16936,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Strophariaceae; g__Stropharia; s__Stropharia_inuncta_SH177499.07FU
OTU16931,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Macrolepiota
OTU16930,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Orbiliomycetes
OTU16933,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU16932,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH459961.07FU
OTU25298,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae
OTU25299,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH022328.07FU
OTU25292,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Dactylellina; s__Dactylellina_ellipsospora_SH195589.07FU
OTU25293,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon
OTU25290,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes
OTU25291,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU25296,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU25297,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Nalanthamala; s__Nalanthamala_sp_SH188078.07FU
OTU25294,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU25295,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU9178,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_gamsii_SH180111.07FU
OTU9179,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae
OTU9172,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU9173,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Marasmiaceae; g__Crinipellis; s__Crinipellis_scabella_SH218073.07FU
OTU9170,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU9171,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus
OTU9176,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__unidentified; s__Thelephoraceae_sp_SH218586.07FU
OTU9177,0,0,0,0,0,0,0,0,0,15,15,k__Fungi
OTU9174,0,0,0,0,0,0,0,14,0,0,14,k__Fungi
OTU9175,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU19792,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10838,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10839,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10836,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10837,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10834,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH466583.07FU
OTU10835,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp_SH212922.07FU
OTU10832,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10833,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__unidentified; s__Corticiaceae_sp_SH479540.07FU
OTU10830,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10831,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU24651,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU24650,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU24653,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__Hypocreales_sp_SH019299.07FU
OTU24652,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__Gaeumannomyces; s__Gaeumannomyces_sp_SH000030.07FU
OTU24655,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU24654,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora
OTU24657,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__unidentified; s__Bionectriaceae_sp_SH220565.07FU
OTU24656,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU24659,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU24658,0,2,4,3,1,0,0,0,0,0,10,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
OTU23926,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU23927,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes
OTU23924,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales
OTU23925,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU23922,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH174616.07FU
OTU23923,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH210966.07FU
OTU23920,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes_sp_SH025161.07FU
OTU23921,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes
OTU23928,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU23929,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus
OTU7927,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU7926,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2737,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2736,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Chytriomycetaceae; g__Chytriomyces
OTU7923,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2730,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU27355,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes
OTU27354,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU27357,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH190979.07FU
OTU27356,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
OTU27351,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU7921,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU27353,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes
OTU27352,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__Chaetothyriales_sp_SH482935.07FU
OTU2732,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU27359,158,89,176,23,43,0,2,0,0,1,492,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia; s__Scutellinia_scutellata_SH215678.07FU
OTU27358,3,26,50,104,67,75,384,0,0,335,1044,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia; s__Scutellinia_scutellata_SH215678.07FU
